CODIGO,EMPRESA,TICKER,CNPJ,DATA ACIONISTAS,FISICOS,JURIDICOS,INSTITUCIONAIS,URL B3
25291,3R PETROLEUM,RRRP3,12.091.809/0001-55,11/12/2020,4225,17,109,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=25291
16284,524 PARTICIP,QVQP3B,01.851.771/0001-55,05/03/2020,0,1,1,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=16284
20958,ABC BRASIL,ABCB4,28.195.667/0001-06,29/05/2020,40944,429,253,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=20958
5380,ACO ALTONA,EALT3,82.643.537/0001-34,02/06/2020,4364,28,13,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=5380
21725,ADVANCED-DH,?,10.345.009/0001-98,31/12/2018,694,15,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=21725
25283,AERIS,AERI3,12.528.708/0001-07,29/09/2020,20930,36,217,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=25283
19313,AES ELPA,?,01.917.705/0001-30,20/04/2017,15915,4058,325,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=19313
16527,AES SUL,?,02.016.440/0001-62,29/04/2019,0,1,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=16527
18350,AES TIETE,?,02.998.609/0001-27,05/08/2015,20152,180,1261,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=18350
18970,AES TIETE E,TIET11,04.128.563/0001-10,13/02/2020,116741,551,438,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=18970
20150,AFLUENTE,?,07.620.094/0001-40,17/03/2017,1898,273,6,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=20150
22179,AFLUENTE T,AFLT3,10.338.320/0001-00,15/04/2019,1986,276,3,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=22179
19437,AGCONCESSOES,?,03.601.314/0001-38,22/03/2017,9,1,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=19437
19062,AGPART,CANT3B,04.031.960/0001-70,12/04/2019,3,1,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=19062
80080,AGRENCO,?,08.943.312/0001-40,01/10/2013,5834,55,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=80080
16705,ALEF S/A,ALEF3B,02.217.319/0001-07,05/03/2020,1,0,1,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=16705
4707,ALFA CONSORC,BRGE11,17.193.806/0001-46,24/04/2020,15072,1490,8,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=4707
