CNPJ,EMPRESA,CODIGO
08.773.135/0001-00,2W ENERGIA S.A.,25224
11.396.633/0001-87,3A COMPANHIA SECURITIZADORA,21954
12.091.809/0001-55,3R PETROLEUM OLÉO E GÁS S.A.,25291
01.547.749/0001-16,521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,16330
01.851.771/0001-55,524 PARTICIPAÇOES SA,16284
01.919.008/0001-19,525 PARTICIPAÇOES SA,16349
31.694.680/0001-14,A C M AGRICOLA SA,505480
08.690.448/0001-96,A G HOTEIS E TURISMO SA,502316
92.659.614/0001-06,A J RENNER SA IND E PARTIP,35
04.895.165/0001-20,A M FIDALGO SA MAT DE CONSTR,504076
06.932.909/0001-64,A O GASPAR INDS SA,503592
02.288.752/0001-25,A.P. PARTICIPAÇOES SA,16802
21.649.280/0001-33,ABC DADOS E INFORMATICA SA,13307
02.258.274/0001-00,ABC SUPERMERCADOS SA,16934
42.275.727/0001-21,ABC XTAL MICROELETRONICA SA,13005
34.033.779/0001-63,ABN AMRO ARRENDAMENTO MERCANTIL SA,15270
44.597.052/0001-62,ABRIL SA,14370
07.794.351/0001-60,ABYARA PLANEJAMENTO IMOBILIÁRIO S/A,20206
10.416.907/0001-90,ACACIA EMPREEND HOTELEIROS SA,501832
09.557.372/0001-98,ACARY HOTELARIA S/A,503908
12.293.130/0001-49,ACOFORTE MOVEIS E EQUIP SA,513911
18.451.005/0001-04,ACOPALMA CIA INDL ACOS V PALMA,60
14.038.517/0001-84,ACORRICO SA IND E COM,505315
61.150.660/0001-43,ACOS ANHANGUERA SA,78
60.890.688/0001-54,ACOS DO BRASIL SA IND E COM,86
92.767.409/0001-56,AÇOS FINOS PIRATINI S/A,14508
60.852.316/0001-33,ACOS IPANEMA (VILLARES) SA,10715
60.664.810/0001-74,AÇOS VILLARES SA,108
42.581.520/0001-85,ACQUA SA AQUICULTURA,518425
39.303.847/0001-80,ACQUAMANIA MULTIPLO LAZER S/A,515230
13.546.353/0001-33,ACRINOR ACRILONITRILA DO NE SA,116
07.825.881/0001-29,ACRUX SECURITIZADORA S/A,20230
02.808.627/0001-07,ACTORI PARTICIPAÇÕES SA,18040
47.080.619/0001-17,AÇUCAR GUARANI S/A,20940
